Questions,Option 1,Approach 1,Correctness of Option 1,Option 2,Approach 2,Correctness of Option 2
"А 43-уеаr-old mаn рrеѕеntѕ wіth tіnglіng аnd numbnеѕѕ of the lowеr lіmbѕ for 2 wееkѕ. Не also сomрlаіnѕ of реrѕіѕtеnt раіn in his legs whісh is not relieved by over-the-counter analgesics. Past medical history is significant for type 2 dіаbеtes mellitus for 2 уеаrѕ, inconsistently managed with mеtformіn аnd glіmеріrіdе. Оn physical ехаmіnаtіon, thеrе іѕ dесrеаѕеd ѕеnѕаtіon to pain in both lower lіmbs, but deep tеndon rеflехеѕ аrе іntасt. Ніѕ vіtаl ѕіgnѕ include: blood рrеѕѕurе 122/84 mm Нg, tеmреrаturе 36.7°C (98.1°F), and rеѕріrаtorу rаtе 10/mіn. His ankle-brachial pressure index (ABPI) on the right side is 1.1. His blood sugar analyses are as follows:
Fasting 141 mg/ dL
2 hours Post-Prandial 235 mg/ dL
HbA1c 8. What is the best measure to prevent the progression of the symptoms present in this patient?",optimize his diabetes management,Codex,Correct,starting insulin therapy.,KJ,Correct
"A 61-year-old man with schizophrenia in a locked inpatient psychiatry unit was observed making an unusual smacking motion with his lips, pursing his mouth, and blinking excessively. These symptoms started slowly about 2 weeks ago and have become more pronounced, but they do not seem to bother the patient. He resides in an inpatient psychiatric facility where he has been successfully treated with haloperidol for the past several months. His physical exam and vitals are within normal limits. What accurately describes his symptoms?
",Tardive dyskinesia.,Codex,Correct,Tardive dyskinesia.,KJ,Correct
A 65-year-old male is treated for anal carcinoma with therapy including external beam radiation. How does radiation affect cancer cells?,Radiation therapy works by damaging the DNA of cancer cells.,Codex,Correct,"Radiation therapy works by damaging the DNA of cancer cells, which can lead to cell death or inability to divide and grow.",KJ,Correct
"A 56-year-old man presents to the clinic complaining of subacute back pain for the past month. The pain is described as a dull, constant ache that is worse at night. He could not recall any precipitating event except for an amateur weight-lifting competition that he participated in 2 months ago. Past medical history is significant for non-small cell lung cancer that was diagnosed and successfully treated. A PET scan 1 year ago demonstrated no recurrence. Physical exam was unremarkable except for some point tenderness along the lumbosacral area. Corresponding to the signs and symptoms, the patient presents with and the investigations performed already, what immediate measures of management are to be initiated, prioritising their urgency, and keeping in mind the probable diagnosis for the same?","Urgent plain radiography of the lumbar spine, followed by an urgent MRI of the lumbar spine if positive, and referral to an oncologist.",Codex,Correct,"Urgent imaging studies, pain management, oncology consultation, radiation therapy, and supportive care.",KJ,Correct
"A 42-year-old woman comes to the emergency department because of a 2-day history of right upper abdominal pain and nausea. She is 163 cm (5 ft 4 in) tall and weighs 91 kg (200 lb); her BMI is 34 kg/m2. Her temperature is 38.5°C (101.3°F). Physical examination shows a distended abdomen and right upper quadrant tenderness with normal bowel sounds. Laboratory studies show:
Leukocyte count 14,000/mm3
Serum
Total bilirubin 1.1 mg/dL
AST 32 U/L
ALT 40 U/L
Alkaline phosphatase 68 U/L
Abdominal ultrasonography is performed, but the results are inconclusive. Cholescintigraphy shows the intrahepatic bile ducts, hepatic ducts, common bile duct, and proximal small bowel. What is causing the patient's symptoms?",Acute cholangitis.,Codex,Correct,acute cholecystitis.,KJ,Correct
"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. Describe the medication regimen in this patient","Atorvastatin, Lisinopril, Albuterol inhaler, Beta blockers, ACE inhibitors or ARBs, Antiplatelet agents, Nitrates, Aldactone.",Codex,Correct,"Atorvastatin, Lisinopril, Albuterol inhaler, Beta blockers, ACE inhibitors or ARBs, Statins, Antiplatelet agents.",KJ,Correct
A 67-year-old man with transitional cell carcinoma of the bladder comes to the physician because of a 2-day history of ringing sensation in his ear. He received this first course of neoadjuvant chemotherapy 1 week ago. Pure tone audiometry shows a sensorineural hearing loss of 45 dB. What kind of Adverse drug reaction is this and which beneficial effect of the drug that caused this patient's symptoms is most likely due to which of the following actions,Ototoxicity.,Codex,Correct,Ototoxicity due to Cisplatin.,KJ,Correct
A 20-year-old man comes to the physician because of worsening gait unsteadiness and bilateral hearing loss for 1 month. He has had intermittent tingling sensations on both cheeks over this time period. He has no history of serious medical illness and takes no medications. Audiometry shows bilateral sensorineural hearing loss. Genetic evaluation shows a mutation of a tumor suppressor gene on chromosome 22 that encodes merlin. This patient is at increased risk for what condition?,Neurofibromatosis type 2 (NF2).,Codex,Correct,Neurofibromatosis type 2.,KJ,Correct
"A junior orthopaedic surgery resident is completing a carpal tunnel repair with the department chairman as the attending physician. During the case, the resident inadvertently cuts a flexor tendon. The tendon is repaired without complication. The attending tells the resident that the patient will do fine, and there is no need to report this minor complication that will not harm the patient, as he does not want to make the patient worry unnecessarily. He tells the resident to leave this complication out of the operative report. Describe the appropriate ethical action that the resident must take in this condition","The resident should document the complication in the operative report, even if the attending physician has instructed them not to.",Codex,Correct,The resident should explain to the attending physician that it is important to document the complication in the operative report and should consider discussing the issue with another senior physician or the hospital's risk management department if the attending physician still refuses to document the complication.,KJ,Correct
"A medical research study is evaluating an investigational novel drug (medication 1) compared with standard therapy (medication 2) in patients presenting to the emergency department with myocardial infarction (MI). The study enrolled a total of 3,000 subjects, 1,500 in each study arm. Follow-up was conducted at 45 days post-MI. The following are the results of the trial:
Endpoints Medication 1 Medication 2 P-Value
Primary: death from cardiac causes 134 210 0.03
Secondary: hyperkalemia 57 70 0.4
What is the number needed to treat (NNT) for the primary endpoint of death from cardiac causes? (Round to the nearest whole number. What is the number needed to treat (NNT) for the primary endpoint of death from cardiac causes? (Round to the nearest whole number.)",20,Codex,Correct,1.79.,KJ,Incorrrect
A 3-week-old male newborn is brought to the physician because of an inward turning of his left forefoot. He was born at 38 weeks' gestation by cesarean section because of breech presentation. The pregnancy was complicated by oligohydramnios. Examination shows concavity of the medial border of the left foot with a skin crease just below the ball of the great toe. The lateral border of the left foot is convex. The heel is in neutral position. Tickling the lateral border of the foot leads to correction of the deformity. The remainder of the examination shows no abnormalities. X-ray of the left foot shows an increased angle between the 1st and 2nd metatarsal bones. What is the most suitable course of action to manage this case?,Immobilize the foot in a neutral position using a cast or splint.,Codex,Incorrrect,serial manipulations.,KJ,Incorrrect
